Series_Title,Gross,Genre,Released_Year,Month
The Shawshank Redemption,28341469,Drama,1994,10
The Godfather,134966411,Crime,1972,4
The Dark Knight,534858444,Action,2008,11
The Godfather: Part II,57300000,Crime,1974,9
12 Angry Men,4360000,Crime,1957,11
The Lord of the Rings: The Return of the King,377845905,Action,2003,11
Pulp Fiction,107928762,Crime,1994,3
Schindler's List,96898818,Biography,1993,5
Inception,292576195,Action,2010,10
Fight Club,37030102,Drama,1999,11
The Lord of the Rings: The Fellowship of the Ring,315544750,Action,2001,6
Forrest Gump,330252182,Drama,1994,11
"Il buono, il brutto, il cattivo",6100000,Western,1966,4
The Lord of the Rings: The Two Towers,342551365,Action,2002,5
The Matrix,171479930,Action,1999,6
Goodfellas,46836394,Biography,1990,3
Star Wars: Episode V - The Empire Strikes Back,290475067,Action,1980,4
One Flew Over the Cuckoo's Nest,112000000,Drama,1975,10
Hamilton,1,Biography,2020,11
Gisaengchung,53367844,Comedy,2019,10
Soorarai Pottru,1,Drama,2020,1
Interstellar,188020017,Adventure,2014,2
Cidade de Deus,7563397,Crime,2002,10
Sen to Chihiro no kamikakushi,10055859,Animation,2001,7
Saving Private Ryan,216540909,Drama,1998,7
The Green Mile,136801374,Crime,1999,5
La vita è bella,57598247,Comedy,1997,12
Se7en,100125643,Crime,1995,4
The Silence of the Lambs,130742922,Crime,1991,9
Star Wars,322740140,Action,1977,2
Seppuku,1,Action,1962,3
Shichinin no samurai,269061,Action,1954,6
It's a Wonderful Life,1,Drama,1946,12
Joker,335451311,Crime,2019,5
Whiplash,13092000,Drama,2014,1
The Intouchables,13182281,Biography,2011,12
The Prestige,53089891,Drama,2006,7
The Departed,132384315,Crime,2006,12
The Pianist,32572577,Biography,2002,11
Gladiator,187705427,Action,2000,10
American History X,6719864,Drama,1998,9
The Usual Suspects,23341568,Crime,1995,12
Léon,19501238,Action,1994,6
The Lion King,422783777,Animation,1994,11
Terminator 2: Judgment Day,204843350,Action,1991,3
Nuovo Cinema Paradiso,11990401,Drama,1988,7
Hotaru no haka,1,Animation,1988,10
Back to the Future,210609762,Adventure,1985,12
Once Upon a Time in the West,5321508,Western,1968,5
Psycho,32000000,Horror,1960,12
Casablanca,1024560,Drama,1942,1
Modern Times,163245,Comedy,1936,10
City Lights,19181,Comedy,1931,8
Capharnaüm,1661096,Drama,2018,2
Ayla: The Daughter of War,1,Biography,2017,2
Vikram Vedha,1,Action,2017,8
Kimi no na wa.,5017246,Animation,2016,2
Dangal,12391761,Action,2016,10
Spider-Man: Into the Spider-Verse,190241310,Animation,2018,7
Avengers: Endgame,858373000,Action,2019,6
Avengers: Infinity War,678815482,Action,2018,11
Coco,209726015,Animation,2017,4
Django Unchained,162805434,Drama,2012,9
The Dark Knight Rises,448139099,Action,2012,5
3 Idiots,6532908,Comedy,2009,8
Taare Zameen Par,1223869,Drama,2007,1
WALL·E,223808164,Animation,2008,3
The Lives of Others,11286112,Drama,2006,12
Oldeuboi,707481,Action,2003,3
Memento,25544867,Mystery,2000,2
Mononoke-hime,2375308,Animation,1997,2
Once Upon a Time in America,5321508,Crime,1984,4
Raiders of the Lost Ark,248159971,Action,1981,8
The Shining,44017374,Drama,1980,4
Apocalypse Now,83471511,Drama,1979,10
Alien,78900000,Horror,1979,2
Anand,1,Drama,1971,10
Tengoku to jigoku,1,Crime,1963,12
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,275902,Comedy,1964,8
Witness for the Prosecution,8175000,Crime,1957,1
Paths of Glory,1,Drama,1957,4
Rear Window,36764313,Mystery,1954,2
Sunset Blvd.,1,Drama,1950,2
The Great Dictator,288475,Comedy,1940,9
1917,159227644,Drama,2019,6
Tumbbad,1,Drama,2018,1
Andhadhun,1373943,Crime,2018,4
Drishyam,1,Crime,2013,6
Jagten,687185,Drama,2012,9
Jodaeiye Nader az Simin,7098492,Drama,2011,4
Incendies,6857096,Drama,2010,4
Miracle in cell NO.7,1,Drama,2019,7
Babam ve Oglum,1,Drama,2005,4
Inglourious Basterds,120540719,Adventure,2009,2
Eternal Sunshine of the Spotless Mind,34400301,Drama,2004,10
Amélie,33225499,Comedy,2001,4
Snatch,30328156,Comedy,2000,11
Requiem for a Dream,3635482,Drama,2000,12
American Beauty,130096601,Drama,1999,12
Good Will Hunting,138433435,Drama,1997,2
Bacheha-Ye aseman,933933,Drama,1997,4
Toy Story,191796233,Animation,1995,2
Braveheart,75600000,Biography,1995,4
Reservoir Dogs,2832029,Crime,1992,5
Full Metal Jacket,46357676,Drama,1987,5
Idi i smotri,1,Drama,1985,10
Aliens,85160248,Action,1986,10
Amadeus,51973029,Biography,1984,10
Scarface,45598982,Crime,1983,9
Star Wars: Episode VI - Return of the Jedi,309125409,Action,1983,12
Das Boot,11487676,Adventure,1981,9
Taxi Driver,28262574,Crime,1976,2
The Sting,159600000,Comedy,1973,10
A Clockwork Orange,6207725,Crime,1971,8
2001: A Space Odyssey,56954992,Adventure,1968,8
Per qualche dollaro in più,15000000,Western,1965,12
Lawrence of Arabia,44824144,Adventure,1962,9
The Apartment,18600000,Comedy,1960,7
North by Northwest,13275000,Adventure,1959,3
Vertigo,3200000,Mystery,1958,3
Singin' in the Rain,8819028,Comedy,1952,12
Ikiru,55240,Drama,1952,4
Ladri di biciclette,332930,Drama,1948,9
Double Indemnity,5720000,Crime,1944,1
Citizen Kane,1585634,Drama,1941,6
M - Eine Stadt sucht einen Mörder,28877,Crime,1931,3
Metropolis,1236166,Drama,1927,9
The Kid,5450000,Comedy,1921,12
Chhichhore,898575,Comedy,2019,10
Uri: The Surgical Strike,4186168,Action,2018,9
K.G.F: Chapter 1,1,Action,2018,5
Green Book,85080171,Biography,2018,2
"Three Billboards Outside Ebbing, Missouri",54513740,Comedy,2017,9
Talvar,342370,Crime,2015,2
Baahubali 2: The Conclusion,20186659,Action,2017,8
Klaus,1,Animation,2019,4
Drishyam,739478,Crime,2015,11
Queen,1429534,Adventure,2013,8
Mandariinid,144501,Drama,2013,4
Bhaag Milkha Bhaag,1626289,Biography,2013,6
Gangs of Wasseypur,1,Action,2012,11
Udaan,7461,Drama,2010,9
Paan Singh Tomar,39567,Action,2012,5
El secreto de sus ojos,6391436,Drama,2009,2
Warrior,13657115,Action,2011,8
Shutter Island,128012934,Mystery,2010,9
Up,293004164,Animation,2009,5
The Wolf of Wall Street,116900694,Biography,2013,3
Chak De! India,1113541,Drama,2007,6
There Will Be Blood,40222514,Drama,2007,2
Pan's Labyrinth,37634615,Drama,2006,11
Toy Story 3,415004880,Animation,2010,6
V for Vendetta,70511035,Action,2005,6
Rang De Basanti,2197331,Comedy,2006,5
Black,733094,Drama,2005,8
Batman Begins,206852432,Action,2005,5
"Swades: We, the People",1223240,Drama,2004,10
Der Untergang,5509040,Biography,2004,11
Hauru no ugoku shiro,4711096,Animation,2004,12
A Beautiful Mind,170742341,Biography,2001,5
Hera Pheri,1,Action,2000,8
"Lock, Stock and Two Smoking Barrels",3897569,Action,1998,9
L.A. Confidential,64616940,Crime,1997,8
Eskiya,1,Crime,1996,2
Heat,67436818,Crime,1995,10
Casino,42438300,Crime,1995,5
Andaz Apna Apna,1,Action,1994,11
Unforgiven,101157447,Drama,1992,12
Indiana Jones and the Last Crusade,197171806,Action,1989,11
Dom za vesanje,280015,Comedy,1988,8
Tonari no Totoro,1105564,Animation,1988,6
Die Hard,83008852,Action,1988,10
Ran,4135750,Action,1985,2
Raging Bull,23383987,Biography,1980,11
Stalker,234723,Drama,1979,3
Höstsonaten,1,Drama,1978,2
The Message,1,Biography,1976,11
Sholay,1,Action,1975,10
Monty Python and the Holy Grail,1229197,Adventure,1975,7
The Great Escape,12100000,Adventure,1963,11
To Kill a Mockingbird,1,Crime,1962,8
Yôjinbô,1,Action,1961,3
Judgment at Nuremberg,1,Drama,1961,4
