Series_Title,Gross,Genre,Fecha,Genero
The Shawshank Redemption,28341469,Drama,1994-10-01,DRAMA
The Godfather,134966411,Crime,1972-04-01,CRIMEN
The Dark Knight,534858444,Action,2008-11-01,ACCION
The Godfather: Part II,57300000,Crime,1974-09-01,CRIMEN
12 Angry Men,4360000,Crime,1957-11-01,CRIMEN
The Lord of the Rings: The Return of the King,377845905,Action,2003-11-01,ACCION
Pulp Fiction,107928762,Crime,1994-03-01,CRIMEN
Schindler's List,96898818,Biography,1993-05-01,BIOGRAFIA
Inception,292576195,Action,2010-10-01,ACCION
Fight Club,37030102,Drama,1999-11-01,DRAMA
The Lord of the Rings: The Fellowship of the Ring,315544750,Action,2001-06-01,ACCION
Forrest Gump,330252182,Drama,1994-11-01,DRAMA
"Il buono, il brutto, il cattivo",6100000,Western,1966-04-01,OESTE
The Lord of the Rings: The Two Towers,342551365,Action,2002-05-01,ACCION
The Matrix,171479930,Action,1999-06-01,ACCION
Goodfellas,46836394,Biography,1990-03-01,BIOGRAFIA
Star Wars: Episode V - The Empire Strikes Back,290475067,Action,1980-04-01,ACCION
One Flew Over the Cuckoo's Nest,112000000,Drama,1975-10-01,DRAMA
Hamilton,1,Biography,2020-11-01,BIOGRAFIA
Gisaengchung,53367844,Comedy,2019-10-01,COMEDIA
Soorarai Pottru,1,Drama,2020-01-01,DRAMA
Interstellar,188020017,Adventure,2014-02-01,AVENTURA
Cidade de Deus,7563397,Crime,2002-10-01,CRIMEN
Sen to Chihiro no kamikakushi,10055859,Animation,2001-07-01,ANIMACION
Saving Private Ryan,216540909,Drama,1998-07-01,DRAMA
The Green Mile,136801374,Crime,1999-05-01,CRIMEN
La vita è bella,57598247,Comedy,1997-12-01,COMEDIA
Se7en,100125643,Crime,1995-04-01,CRIMEN
The Silence of the Lambs,130742922,Crime,1991-09-01,CRIMEN
Star Wars,322740140,Action,1977-02-01,ACCION
Seppuku,1,Action,1962-03-01,ACCION
Shichinin no samurai,269061,Action,1954-06-01,ACCION
It's a Wonderful Life,1,Drama,1946-12-01,DRAMA
Joker,335451311,Crime,2019-05-01,CRIMEN
Whiplash,13092000,Drama,2014-01-01,DRAMA
The Intouchables,13182281,Biography,2011-12-01,BIOGRAFIA
The Prestige,53089891,Drama,2006-07-01,DRAMA
The Departed,132384315,Crime,2006-12-01,CRIMEN
The Pianist,32572577,Biography,2002-11-01,BIOGRAFIA
Gladiator,187705427,Action,2000-10-01,ACCION
American History X,6719864,Drama,1998-09-01,DRAMA
The Usual Suspects,23341568,Crime,1995-12-01,CRIMEN
Léon,19501238,Action,1994-06-01,ACCION
The Lion King,422783777,Animation,1994-11-01,ANIMACION
Terminator 2: Judgment Day,204843350,Action,1991-03-01,ACCION
Nuovo Cinema Paradiso,11990401,Drama,1988-07-01,DRAMA
Hotaru no haka,1,Animation,1988-10-01,ANIMACION
Back to the Future,210609762,Adventure,1985-12-01,AVENTURA
Once Upon a Time in the West,5321508,Western,1968-05-01,OESTE
Psycho,32000000,Horror,1960-12-01,HORROR
Casablanca,1024560,Drama,1942-01-01,DRAMA
Modern Times,163245,Comedy,1936-10-01,COMEDIA
City Lights,19181,Comedy,1931-08-01,COMEDIA
Capharnaüm,1661096,Drama,2018-02-01,DRAMA
Ayla: The Daughter of War,1,Biography,2017-02-01,BIOGRAFIA
